,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,fund_acr,fund_no,fund_sponsor
314,2-s2.0-85076696075,10.1063/1.5127525,,,"Response to ""comment on 'Modifications to the gradient schemes on unstructured cell centered grids for the accurate determination of gradients near conductivity changes'"" [Phys. Fluids 31, 129101 (2019)]",no,Note,Trautmann M.,60018353,Technische Universität Dresden,Dresden,Germany,4,"Trautmann, M.;Spaniol, E.;Hertel, M.;Füssel, U.",57193119588;57202247774;35322234200;6602863392,60018353;60018353;60018353;60018353,2019-12-01,1 December 2019,Physics of Fluids,10706631,29210,10897666,Journal,31,12,129102,,,,0,0,,undefined,
315,2-s2.0-85070062084,10.1007/s40194-019-00781-6,,,A simulation-aided least squares reconstruction scheme for the measurement of welding process heat flux distributions,ar,Article,Trautmann M.,60018353,Technische Universität Dresden,Dresden,Germany,4,"Trautmann, M.;Hertel, M.;Jäckel, S.;Füssel, U.",57193119588;35322234200;55884198200;6602863392,60018353;60018353;60018353;60018353,2019-11-01,1 November 2019,Welding in the World,00432288,12037,18786669,Journal,63,6,,1873-1882,"© 2019, International Institute of Welding. A new method for the measurement of two-dimensional heat flux profiles for GTAW processes is presented. The method is based on a least squares reconstruction algorithm for the inverse heat transfer problem for a steady-state temperature distribution in a specimen body. The temperature is measured with an experimental setup suited for the heat input of a welding process. The temperature distribution is then used to reconstruct the heat flux distribution on the specimen surface using a heat flux approach function. To calculate the temperature distribution ratio for the current approach heat flux profile, a numerical simulation model of the specimen is embedded in the reconstruction procedure. The residuum between the actual temperature distribution and the test function temperature is reduced using a least squares optimization step until convergence. The method is verified using a numerically calculated temperature distribution which is compared with a predefined heat flux profile. Moreover, the method is compared with a split-anode measurement for one-dimensional and two-dimensional reconstruction approaches. Measurements of a process with an inclined torch as well as a process with a magnetically deflected arc demonstrate the capability of the new method for the measurement of two-dimensionally resolved heat flux distributions of GTAW processes.",Heat flux density | Inverse heat transfer | Numerical heat conduction | Split-anode | Welding,1,0,,undefined,
316,2-s2.0-85066248468,10.1007/s40194-019-00744-x,,,Heat development of the contact area during capacitor discharge welding,ar,Article,Ketzel M.,60018353,Technische Universität Dresden,Dresden,Germany,4,"Ketzel, Max Martin;Hertel, Martin;Zschetzsche, Jörg;Füssel, Uwe",57195149636;35322234200;8666854600;6602863392,60018353;60018353;60018353;60018353,2019-09-01,1 September 2019,Welding in the World,00432288,12037,18786669,Journal,63,5,,1195-1203,"© 2019, International Institute of Welding. Capacitor discharge welding primarily applies to projection welding. Components with ring projections up to 200 mm diameter can be welded with peak currents up to 1000 kA and welding times less than 10 ms. Weld nuggets are expected to occur, as the CD-Welding belongs to resistance welding. Although the required strength is given, welding nuggets in cross-sections cannot invariably be verified. According to recent researches, joining occurs without a welding nugget, but with metal vaporisation and linked activation of the surfaces. This process is called short-time welding with high thermal current density. The type of the welded joint depends on the heating properties in the weld zone. Different welding energies, electrode forces and welding times result in different welded joints. The process-specific advantages can be taken, and new application areas for CD welding can be developed by knowing the cause-and-effect relationships.",Capacitor discharge welding | Metal vaporisation | Projection welding | Simulation | Surface activation,4,0,BMWi,18.987B,Bundesministerium für Wirtschaft und Energie
317,2-s2.0-85066914693,10.1007/s40194-019-00743-y,,,Numerical and experimental analysis on the influence of surface layer on the resistance spot welding process for the aluminum alloys 5182 and 6016,ar,Article,Heilmann S.,60018353,Technische Universität Dresden,Dresden,Germany,7,"Heilmann, Stefan;Köberlin, David;Merx, Marcel;Müller, Jens;Zschetzsche, Jörg;Ihlenfeldt, Steffen;Füssel, Uwe",7004224776;57209224483;55799018700;57213558852;8666854600;6506721503;6602863392,60018353;60018353;60018353;60018353;60018353;60018353;60018353,2019-09-01,1 September 2019,Welding in the World,00432288,12037,18786669,Journal,63,5,,1205-1220,"© 2019, International Institute of Welding. Resistance spot welding is used as a high-productivity joining process for the increasing use of lightweight materials in industrial applications. The main challenge for the welding of aluminum alloys is the wear of the electrodes. Due to the natural oxide layers on the metal surface, high contact resistances exist between the sheet metal and the electrode. This results in increased heat generation at this interface, which leads to increased alloyage on the electrode. Breaking the insulating natural oxide layers can be achieved by a friction-free or friction-assisted motion overlay and leads to a reduced electrode wear. The complex physical correlations involved are currently being investigated in a basic research project at TU Dresden. In addition to welding tests on a test rig, simulation-based analyses are also carried out. These allow a physic-based modeling of the effects and can be used later on for an extrapolation of any resistance welding process with motion overlay. In this paper, first experimental and analytical considerations for the mechanical destruction of the oxide layer of aluminum are discussed. Subsequently, the developed extended simulation model is presented and compared according to the quality of simulation of the welding process with motion overlay. The simulation method used is a multiphysics FEM simulation with ANSYS.",Aluminum alloys | Contact resistance | Fem simulation | Resistance spot welding | Resistance welding electrodes,1,0,DFG,FU307/11-1,Deutsche Forschungsgemeinschaft
318,2-s2.0-85064603694,10.1063/1.5089734,,,Modifications to the gradient schemes on unstructured cell centered grids for the accurate determination of gradients near conductivity changes,ar,Article,Trautmann M.,60018353,Technische Universität Dresden,Dresden,Germany,4,"Trautmann, M.;Spaniol, E.;Hertel, M.;Füssel, U.",57193119588;57202247774;35322234200;6602863392,60018353;60018353;60018353;60018353,2019-04-01,1 April 2019,Physics of Fluids,10706631,29210,10897666,Journal,31,4,047104,,"© 2019 Author(s). Gradient schemes for the cell centered finite volume method on unstructured grids, namely, the divergence theorem and the least squares schemes, have been widely adopted because they have reached a high precision for most applications. These schemes assume continuously differentiable fields for the calculation of the gradients. However, this assumption is violated in the vicinity of conductivity jumps between cells. It is shown that this deficiency leads to a wrong calculation of the gradients and thus the flux density in cells near conductivity changes. For large conductivity jumps, the error of the flux density can exceed several orders of magnitude. Based on theoretical considerations, flux conservative versions of the schemes are derived for the central gradient scheme and extended to the divergence theorem and least squares schemes. The modified schemes named flux conservative divergence theorem and flux conservative least squares take the nonlinearity of a conservation variable near conductivity changes into account and eliminate the error made by the assumption of a continuously differentiable field. The schemes are demonstrated on Cartesian and highly skewed grids with different grid resolutions with a large conductivity jump. The error of the flux density is shown to be reduced by several orders of magnitude up to machine precision for Cartesian grids.",,2,0,,undefined,
319,2-s2.0-85063268625,10.1007/s40194-018-00683-z,,,Comparing the effect of electrode geometry on resistance spot welding of aluminum alloys between experimental results and numerical simulation,ar,Article,Tuchtfeld M.,60020755;60018362;60018353,Volkswagen AG;Otto von Guericke University of Magdeburg;Technische Universität Dresden,Wolfsburg;Magdeburg;Dresden,Germany;Germany;Germany,4,"Tuchtfeld, Markus;Heilmann, Stefan;Füssel, Uwe;Jüttner, Sven",57207930260;7004224776;6602863392;56086736400,60020755;60018353;60018353;60018362,2019-03-08,8 March 2019,Welding in the World,00432288,12037,,Journal,63,2,,527-540,"© 2019, International Institute of Welding. With the tightened emission limits the amount of aluminum sheets in future body-in-white concepts is on the rise. Thus, there is a need for optimizing the joining techniques to fulfill the upcoming challenges linked to high volume production. Especially the electrode life for resistance spot welding as a reliable and established process needs to improve. In order to do so the effect of electrode geometries on the electrode life is investigated. It is shown that the radius of curvature, the size of the face diameter, and the cone angle influences the electrode life. The reason for this behavior is explained by a numerical simulation developed by the TU Dresden. Based on these findings, an analysis with the purpose of investigating an improved electrode geometry is conducted. It is shown that a domed electrode with a radius of curvature of 150 mm should be used. This electrode combines the ability to crack the oxide layer effectively while ensuring a sufficient area of contact between electrode and sheet.",Aluminum alloys | Contact resistance | Resistance spot welding | Resistance welding electrodes | Simulating,6,0,,undefined,
320,2-s2.0-85060250495,10.1007/s40194-018-0641-3,,,Numerical investigations on the thermal efficiency in laser-assisted plasma arc welding,ar,Article,Jäckel S.,60025616;60018353,Fraunhofer Institute for Material and Beam Technology IWS;Technische Universität Dresden,Dresden;Dresden,Germany;Germany,7,"Jäckel, S.;Trautmann, M.;Hertel, M.;Füssel, U.;Hipp, D.;Mahrle, A.;Beyer, E.",55884198200;57193119588;35322234200;6602863392;57003259000;6505767342;7103036576,60018353;60018353;60018353;60018353;60018353;60025616;60018353-60025616,2019-01-09,9 January 2019,Welding in the World,00432288,12037,,Journal,63,1,,23-31,"© 2018, International Institute of Welding. Numerical investigations on the thermal efficiency in laser-assisted plasma arc welding (LAPAW) have been carried out by the combination of a magneto-hydrodynamic (MHD) arc model and a smoothed-particle-hydrodynamics (SPH) model of the weld pool. The comparison of the calculated weld seam cross-sections gained from numerical simulation as well as experimental examinations shows a good agreement. By the use of the weld pool model, the sensitivity of different influencing variables was investigated. The analysis clearly reveals the major influence of the central heat flux density on the penetration profile and on the thermal efficiency of the process. The higher the heat flux of the laser beam and the higher the constriction of the heat flux profile of the arc, the higher the thermal efficiency of the process.",Hybrid | Hybrid laser arc welding | Laser-arc interaction | Laser-enhanced plasma welding | Molten pool | Plasma | Plasma welding | Simulating,0,0,DFG,undefined,Deutsche Forschungsgemeinschaft
321,2-s2.0-85065704233,10.3390/ma12091460,,,Thermal efficiency analysis for laser-assisted plasma arc welding of AISI 304 stainless steel,ar,Article,Hipp D.,60025616;60018353,Fraunhofer Institute for Material and Beam Technology IWS;Technische Universität Dresden,Dresden;Dresden,Germany;Germany,6,"Hipp, Dominik;Mahrle, Achim;Beyer, Eckhard;Jäckel, Sebastian;Hertel, Martin;Füssel, Uwe",57003259000;6505767342;7103036576;55884198200;35322234200;6602863392,60018353;60018353-60025616;60018353;60018353;60018353;60018353,2019-01-01,2019,Materials,,76627,19961944,Journal,12,9,1460,,"© 2019 by the authors. Synergistic effects during hybrid laser-arc welding may cause increased process efficiencies. However, the basic interactions behind these effects are still being discussed, with some contradictory reports. In this study, particular welding parameters of interest were systematically varied to further the understanding of involved phenomena. The experimental trials are evaluated regarding their synergistic achievements in terms of process efficiency, melting efficiency and energy coupling efficiency using a factorial two-level Design-of-Experiment (DoE) approach. The results show that the growth in process efficiency can be attributed to a dramatic increase in melting efficiency whereas the energy coupling efficiency is only moderately increased. Thus, the synergistic effect is mainly caused by secondary mechanisms that change the energy usage inside the workpiece while direct interactions between the two heat sources can be excluded as a reasonable cause for increased process efficiencies. It is concluded that the different sizes of the heat sources change the heat and mass flow positively and consequently lead to a higher performance level.",Hybrid welding | Interaction mechanisms | Laser welding | Plasma arc welding | Process efficiency | Synergistic effects,3,1,DFG,BE 1875/34-1,Deutsche Forschungsgemeinschaft
322,2-s2.0-85052715417,10.1007/978-3-319-99519-9_15,,,Alternative reinforcements for digital concrete construction,ch,Chapter,Mechtcherine V.,60092260;60018353,Shimizu Corporation;Technische Universität Dresden,Minato;Dresden,Japan;Germany,7,"Mechtcherine, Viktor;Nerella, Venkatesh Naidu;Ogura, Hiroki;Grafe, Jasmin;Spaniol, Erik;Hertel, Martin;Füssel, Uwe",15848808400;49361621900;37051024900;57195126468;57202247774;35322234200;6602863392,60018353;60018353;60092260;60018353;60018353;60018353;60018353,2019-01-01,2019,RILEM Bookseries,22110844,21100229405,22110852,Book Series,19,,,167-175,"© 2019, RILEM. Applications of structural concrete require use of reinforcement in one form or another. The known reinforcement concepts in additive concrete construction typically rely on conventional reinforcement approaches, which provide a solid basis for structural design, since existing guidelines and codes can be used. However, the use of conventional steel reinforcement poses serious limitations to the digitalization and automation of fabrication techniques. The article at hand presents two alternative approaches of reinforcing 3D-printed concrete structures: (1) additive manufacturing of steel reinforcement elements, (2) use of high-performance microfiber to achieve strain-hardening behavior of printed concrete. For both approaches materials and manufacturing techniques are briefly described followed by the results of mechanical testing and complimentary microscopic investigations. The printed steel bars showed similar mechanical performance in comparison to ordinary steel bars of the same cross-section area and comparable bond behavior to concrete too, as observed in pull-out experiments. The addition of 1% to 1.5% high-density polyethylene microfiber to fine-grained matrix enabled for printable strain-hardening cement-based composites (SHCC) with a tensile strain capacity of up to 3.2%.",3D-printing | Additive concrete construction | ECC | Polymer fiber | SHCC | Steel bars | Strain-hardening cement-based composites,5,0,,undefined,
373,2-s2.0-85070219121,10.1002/mawe.201900036,,,Simulation-aided development of a robust thermoclinching joining process for hybrid structures with textile reinforced thermoplastic composites and metallic components,ar,Article,Gude M.,60018353,Technische Universität Dresden,Dresden,Germany,3,"Gude, M.;Vogel, C.;Gröger, B.",55196325300;56375858900;57209825975,60018353;60018353;60018353,2019-08-01,August 2019,Materialwissenschaft und Werkstofftechnik,09335137,27304,15214052,Journal,50,8,,1027-1038,"© 2019 Wiley-VCH Verlag GmbH  &  Co. KGaA, Weinheim In order to take advantage of the specific structural and functional properties inside a multi-material assembly, it is necessary to provide adapted joining technologies. Therefore, the new joining technology “thermoclinching” was developed to join endless fiber reinforced thermoplastic composites and metallic joining partners. Previous experimental and numerical studies demonstrated the potential of the novel joining technology. In experimental and numerical studies essential geometrical and material parameters influencing the forming behavior are identified and evaluated. Thereby, the inline-thermoclinching technology is developed by integrating the pre-processed steps of cutting and heating into the actual joining process. For structural analysis of the joining zone as well as for quality analysis and validation of the process simulations computer tomography (CT) is used. Furthermore, experimental characterizations of the failure behavior of thermoclinched joints and the development of simulation models as well as strategies for numerical strength analyses are carried out.",Clinching | hybrid structure | joint | multi-material | process simulation,1,0,DFG,undefined,Deutsche Forschungsgemeinschaft
374,2-s2.0-85068831653,10.1063/1.5112580,,,Phenomena of forming and failure in joining hybrid structures - Experimental and numerical studies of clinching thermoplastic composites and metal,cp,Conference Paper,Vorderbrüggen J.,60020238;60018353,Universität Paderborn;Technische Universität Dresden,Paderborn;Dresden,Germany;Germany,6,"Vorderbrüggen, Julian;Gröger, Benjamin;Kupfer, Robert;Hoog, Arne;Gude, Maik;Meschut, Gerson",57209838873;57209825975;36863920600;57209836455;55196325300;6603139469,60020238;60018353;60018353;60018353;60018353;60020238,2019-07-02,2 July 2019,AIP Conference Proceedings,0094243X,26916,15517616,Conference Proceeding,2113,,050016,,"© 2019 Author(s). This paper describes the influence of the process temperature and die design on the material structure as well as the load carrying capacity of clinched metal-glass fibre reinforced thermoplastics (GFRP) components. It also discusses approaches for a simulation-based process development to identify an appropriate heating strategy and the associated process parameters. The heat is initiated in a defined area around the joining zone with the aim of a controlled softening of the thermoplastic matrix, which occurs close to the melting temperature, ensuring low-damage fibre displacement during the clinching process. The evaluation of joining-induced fibre damage is carried out with the aid of microscopy analysis.",,1,0,BMWi,undefined,Bundesministerium für Wirtschaft und Energie
386,2-s2.0-85070719471,10.1002/adem.201900134,,,Relationships between Microstructural and Mechanical Performance on Example of an Air-Hardening Steel,ar,Article,Grydin O.,60103634;60020238,National Metallurgical Academy of Ukraine;Universität Paderborn,Dnipro;Paderborn,Ukraine;Germany,5,"Grydin, Olexandr;Andreiev, Anatolii;Zogaj, Mergim;Frolov, Yaroslav;Schaper, Mirko",25630349700;57056434100;57210433356;13907977400;7005437552,60020238;60020238;60020238;60020238-60103634;60020238,2019-10-01,1 October 2019,Advanced Engineering Materials,14381656,13886,15272648,Journal,21,10,1900134,,"© 2019 WILEY-VCH Verlag GmbH  &  Co. KGaA, Weinheim Because of an excellent combination of strength and ductility, mono-phase low-alloyed steels with a bimodal grain size are an appropriate alternative to conventionally cold-rolled and annealed steels as well as to steels with a dual-phase microstructure. This study investigates how the microstructure of a low-alloyed air-hardening steel either with a homogeneous, a dual-phase, or a bimodal grain structure influences its mechanical and fatigue performances. The homogeneous ferritic grain microstructure of the steel sheets is adjusted by an intercritical annealing at 790 °C, along with subsequent air hardening to obtain a dual-phase state. Then, the ferritic-martensitic material is cold-rolled and annealed at 550–700 °C to produce different bimodal grain microstructures. The evolution of microstructure and mechanical properties are characterized. An annealing temperature of 600 °C is considered to be the optimal temperature resulting in pronounced bimodal grain size distribution. The sheet with a bimodal microstructure exhibits a higher strength and equal ductility compared to one with a homogeneous ferritic microstructure. Additionally, high-cycle fatigue tests of the material with a bimodal microstructure shows its superior fatigue behavior at a loading of above 800 000 cycles compared with both the homogeneous ferritic microstructure as well as the dual-phase microstructure.",bimodal microstructure | dual-phase microstructure | ductility | low-alloy air-hardening steel | tensile and fatigue strength | thin sheet,0,1,,undefined,
387,2-s2.0-85050276005,10.1007/s12289-018-1431-6,,,Influence of strain parameters at rolling on the properties of wire-reinforced aluminium composites,ar,Article,Frolov Y.,60103634;60020238;60005248,National Metallurgical Academy of Ukraine;Universität Paderborn;Johns Hopkins University,Dnipro;Paderborn;Baltimore,Ukraine;Germany;United States,6,"Frolov, Yaroslav;Stolbchenko, Mykhailo;Grydin, Olexandr;Makeeva, Hanna;Tershakovec, Michael A.;Schaper, Mirko",13907977400;55808309900;25630349700;57202133697;57203020078;7005437552,60103634;60020238;60020238;60103634;60005248;60020238,2019-07-01,1 July 2019,International Journal of Material Forming,19606206,14500154716,19606214,Journal,12,4,,505-518,"© 2018, Springer-Verlag France SAS, part of Springer Nature. The present experimental work is devoted to the analysis of strain parameters at rolling of aluminium composite with wire-reinforcement. The experiments on roll bonding of two strips of EN AW-5083 alloy with and without diagonal stainless steel net-reinforcement between them were carried out with different reductions. The rolling reduction was varied in a range from 25 to 55% and its influence on the straining of the wires and bonding mechanisms was analysed. The parameters describing the net behaviour in the composite established and used are the following: net cell elongation, wire elongation and wire ovalisation. The properties of the rolled composite are determined by means of longitudinal and transversal tensile testing, impact testing and microscopic analysis. The influence of the rolling reduction on the mechanisms of bonding formation in the composite, its properties and fracture behaviour are analysed. The optimum range of rolling reductions was established based on the conducted tests. The reinforcing net allowed reaching a tough bonding between the strip’s layers during rolling at lower plastic reduction, while the strips without reinforcement could not be bonded at rolling reduction below 45%. The wire-reinforced strips showed higher strength and ductility under the tensile loading in rolling direction and higher toughness during impact testing than the non-reinforced aluminium strips.",Aluminium matrix | Delamination | Mechanical properties | Reinforcing | Rolling | Steel net | Strain,1,0,DAAD,undefined,Deutscher Akademischer Austauschdienst
388,2-s2.0-85052824644,10.1002/adem.201800454,,,Manufacturing and Characterization of Twin-Roll Cast Aluminum-Steel Clad Strips,ar,Article,Stolbchenko M.,60020238,Universität Paderborn,Paderborn,Germany,3,"Stolbchenko, Mykhailo;Grydin, Olexandr;Schaper, Mirko",55808309900;25630349700;7005437552,60020238;60020238;60020238,2019-04-01,April 2019,Advanced Engineering Materials,14381656,13886,15272648,Journal,21,4,1800454,,"© 2018 WILEY-VCH Verlag GmbH  &  Co. KGaA, Weinheim The manufacturing of clad strips by means of twin-roll casting is a prospective trend regarding the production of lightweight materials. This study is dedicated to an analysis of bond formation conditions during the twin-roll casting of clad strips of aluminum EN AW-1070 and an austenitic stainless steel 1.4301. The procedures of steel substrate preparation and their influence on the diffusion bond are investigated. These include surface pre-treatment of the steel substrate by means of mechanical grinding and laser irradiation as well as its pre-heating. Using the different sets of process parameters, the clad strips with a thickness of 2.5 mm are manufactured and characterized. Light and electron microscopy are used to characterize the microstructure of the aluminum layer and the bond zone and to investigate the mechanism of bond formation. The evaluation of the strips’ properties is carried out by means of adhesive tensile tests, peeling tests, uniaxial tensile tests, and fatigue tests. The influence of each of the substrate preparation methods as well as post heat treatment on the parameters of bond zone and the mechanical properties of the clad strip is investigated. The implementation of the investigated manufacturing method allows producing thin clad strips with excellent characteristics.",bond strength | diffusion | fatigue | intermetallic phases | twin roll casting,3,0,DFG,SCHA1484/21-1,Deutsche Forschungsgemeinschaft
389,2-s2.0-85061370836,10.1016/j.msea.2019.02.025,S0921509319301856,,"Short austenitization treatment with subsequent press hardening: Correlation between process parameters, microstructure and mechanical properties",ar,Article,Grydin O.,60103634;60096448;60020238,National Metallurgical Academy of Ukraine;Benteler AG;Universität Paderborn,Dnipro;Paderborn;Paderborn,Ukraine;Germany;Germany,7,"Grydin, Olexandr;Andreiev, Anatolii;Holzweißig, Martin Joachim;Rüsing, Christian Johannes;Duschik, Kristina;Frolov, Yaroslav;Schaper, Mirko",25630349700;57056434100;54949762700;54911986000;55428093100;13907977400;7005437552,60020238;60020238;60096448;60096448;60020238;60103634;60020238,2019-03-11,11 March 2019,Materials Science and Engineering A,09215093,17811,,Journal,749,,,176-195,"© 2019 Elsevier B.V. This study discusses contact heating of blanks as a time- and cost-saving alternative to conventional heating in radiation furnaces for press hardening of high-strength car body elements. Different from radiation furnaces, where the process takes up to 10 min, contact heating allows to austenitize the material within seconds. Various experimental series were carried out to investigate the influence of short austenitization on the microstructure and resulting mechanical properties after subsequent press hardening. Attention was given to the individual effects on the relevant processing parameters of the production chain “contact heating – press hardening”. Those include thickness and initial state of the material, cooling rate as well as the presence of post-treatment (cathodic dip coating). The obtained results were compared both to the conventionally austenitized and press-hardened material as well as to the requirements of the industrial standard. Finally, the feasibility of the process was proven by considering the example of press hardening of a door impact beam.",Characterization | Ductility | Microstructure | Press hardening steel | Short austenitization | Strength,5,0,,undefined,
390,2-s2.0-85053752482,10.1007/s11837-018-3144-1,,,Water Quenching of Hot-Rolled Aluminum Strips: Process Integrated Heat Treatment of the Alloy EN AW-6082,ar,Article,Grydin O.,60103634;60096448;60020238,National Metallurgical Academy of Ukraine;Benteler AG;Universität Paderborn,Dnipro;Paderborn;Paderborn,Ukraine;Germany;Germany,8,"Grydin, Olexandr;Andreiev, Anatolii;Sotirov, Nikolay;Stolbchenko, Mykhailo;Behr, Teresa M.;Ashkelianets, Anton;Frolov, Iaroslav;Schaper, Mirko",25630349700;57056434100;14034640200;55808309900;57203962944;56375098100;13907977400;7005437552,60020238;60020238;60096448;60020238;60020238;60103634;60103634;60020238,2019-01-01,1 January 2019,JOM,10474838,12302,15431851,Journal,71,1,,407-418,"© 2018, The Minerals, Metals  &  Materials Society. Hot rolling of thin sheets of hardenable aluminum alloys with integrated quenching allows the coupling of both deformation and heat treatment into a single processing step, analogous to hot extrusion. However, unlike hot extrusion, hot rolling is performed in a lower temperature range as a result of material contact with the unheated forming tool during deformation. The influence of this type of processing on mechanical properties has rarely been studied. In the present work, the effect of the individual parameters of hot rolling with integrated heat treatment on the microstructure and mechanical properties of alloy EN AW-6082 has been studied. The results have been compared with similarly heat-treated unworked material. It has been revealed that hot rolling can cause the strength of the material to deteriorate after final natural and artificial aging, leading to a failure to fulfil the requirements of standards. Finally, recommendations for decreasing the above-mentioned negative influence have been proposed.",,0,0,,undefined,
391,2-s2.0-85071684180,10.4028/www.scientific.net/MSF.949.85,,,Flexible hot rolling of extruded shapes of aluminum alloy en aw-6082,cp,Conference Paper,Grydin O.,60177745;60103634;60096448;60020238,Micas Simulations Ltd.;National Metallurgical Academy of Ukraine;Benteler AG;Universität Paderborn,Oxford;Dnipro;Paderborn;Paderborn,United Kingdom;Ukraine;Germany;Germany,9,"Grydin, O.;Sotirov, N.;Samsonenko, A.;Biba, N.;Andreiev, A.;Stolbchenko, M.;Behr, T. M.;Frolov, Ia;Schaper, M.",25630349700;14034640200;56376554800;6602118664;57056434100;55808309900;57203962944;13907977400;7005437552,60020238;60096448;60103634;60177745;60020238;60020238;60020238;60103634;60020238,2019-01-01,2019,Materials Science Forum,02555476,28700,16629752,Book Series,949 MSF,,,85-92,"© 2019 Trans Tech Publications Ltd, Switzerland. All rights reserved. One of the strategies employed to lower weight and to decrease material consumption is reducing part thickness itself. Thus, functionally graded materials in which structural reinforcement is adjusted locally, are of great interest. With regard to conventional industrial processes, such as extrusion or flexible cold rolling, thickness variations can only be achieved either longitudinally or through the cross-section of the semi-finished products. Hence, a combined thickness variation (along both axes) is difficult to generate solely by extrusion or rolling. A simultaneous thickness variation in both directions, however, would enable further weight savings in structural components such as car body parts. In this study, a promising approach with extruded shapes, serving as a billet for a flexible hot rolling process, is elaborated upon. By employing the described process modification, shapes with simultaneous thickness variations in longitudinal as well as in transverse direction are feasible. Initial numerical analysis reveals the weight-saving potential of using these semi-finished products for structural parts in a car body. A demonstration of the production process for the semi-finished parts and the occurring challenges are discussed. To verify and adjust the new technology, a numerical model of the flexible hot rolling process has been created based on the finite element software QForm VX. This model is also employed for tool design optimization to produce semi-finished components with the required geometrical quality. Finally, the results of hot rolling experiments conducted using the adjusted roll design are presented.",Aluminum | Extruded Shape | Hot Deformation | Rolling,0,1,,undefined,
455,2-s2.0-85072713483,10.1016/j.compositesa.2019.105615,S1359835X19303641,,Experimental study of Z-pin fatigue; understanding of mode I and II coupon behaviour,ar,Article,Warzok F.,60020650;60018353,University of Bristol;Technische Universität Dresden,Bristol;Dresden,United Kingdom;Germany,4,"Warzok, F.;Allegri, G.;Gude, M.;Hallett, S. R.",57188648227;56236628900;55196325300;56264184600,60020650-60018353;60020650;60018353;60020650,2019-12-01,December 2019,Composites Part A: Applied Science and Manufacturing,1359835X,20540,,Journal,127,,105615,,"© 2019 Elsevier Ltd Insertion of carbon fibre reinforced polymer rods (Z-pins), is an effective method for the through-thickness reinforcement (TTR) of laminated composites. Whilst Z-pins are primarily used to mitigate delamination under quasi-static loading and/or impact events, the effectiveness of TTR following long-term exposure to cyclic loads still needs to be properly understood. This paper aims to fill the aforementioned knowledge gap by addressing the effect of fatigue on the Z-pins themselves, both in mode I and mode II regimes. The fatigue tests considered here are carried out on single Z-pin coupons, as well as Double-Cantilever-Beam (DCB) and End-Loaded-Split (ELS) specimens. The results indicate that, for relatively small cyclic displacements, Z-pins tolerate fatigue well, exhibiting good residual performance post-fatigue. However, increasing the amplitude of the fatigue loads damages the Z-pins and, hence, it tends to reduce the TTR residual ability to mitigate delamination under further quasi-static or impact loading.",A. 3-Dimensional reinforcement | B. Wear | C. Fatigue | D. Coupon level analysis,2,0,UTC,undefined,Rolls-Royce
456,2-s2.0-85072567968,10.1016/j.ijengsci.2019.103168,S0020722518327009,,Multi-scale modelling approach to homogenise the mechanical properties of polymeric closed-cell bead foams,ar,Article,Gebhart T.M.J.,60018353;60008583,Technische Universität Dresden;Leibniz-Institut für Polymerforschung Dresden e.V.,Dresden;Dresden,Germany;Germany,8,"Gebhart, Thomas M.J.;Jehnichen, Dieter;Koschichow, Roman;Müller, Michael;Göbel, Michael;Geske, Vinzenz;Stegelmann, Michael;Gude, Maik",57219461003;7004459828;55512222500;57190168091;57197426405;55387318400;57190174512;55196325300,60018353;60008583;60018353;60018353;60008583;60018353;60018353;60018353,2019-12-01,December 2019,International Journal of Engineering Science,00207225,12349,,Journal,145,,103168,,"© 2019 The complex mechanical deformation behaviour of closed-cell foams is governed by morphological and physical properties such as cell structure and crystallinity. In this study, the micro-, meso- and macroscopic scale of commercially available bead foam was analysed. Statistical distribution of the cell structure including cell size, wall thickness and shape was determined using optical microscopy and micro computed-tomography. Local crystallinity was investigated by DSC scans and X-ray scattering. The results confirm the important influence of the multi-step manufacturing process on the physical properties of bead foams. Mesoscopic and macroscopic numerical analyses of the mechanical behaviour of polymeric closed-cell bead foams are performed. With regard to the manufacturing influence on local physical properties of bead foams, the suggested approach takes into account the density and crystallinity-specific material properties and the generation of associated material cards, using virtual test methods. To represent the mesoscopic foam morphology considered here, statistical volume elements (SVE) are generated using the Laguerre tessellation method. Crystallinity-dependent base material properties are used in SVE material cards to investigate tensile and compressive behaviour. For validation of the suggested approach, four-point bending tests are conducted on macroscopic scale and compared with the numerically predicted results. The paper shows the advanced forecast capability of locally resolved modelling of closed-cell bead foam structures and underlines the huge potential of the multi-scale modelling approach.",Closed-cell foam | Homogenisation | Laguerre tessellation | Multi-scale modelling | Physical properties | Statistical properties/methods,4,0,FICER,02P15Z001 02P15Z006,Fund for Innovative Climate and Energy Research
